Zip Code,Now married (except separated); Estimate; Population 15 years and over,Divorced; Estimate; Population 15 years and over,Never married; Estimate; Population 15 years and over
ZCTA5 01854,28.9,9,53.8
ZCTA5 01860,61.5,7.1,27
ZCTA5 01862,49.3,6.3,38.8
ZCTA5 01863,52.9,12.4,26.2
ZCTA5 01864,58.8,8.1,28.3
ZCTA5 01867,60.3,7.3,26.1
ZCTA5 01876,53.1,9.3,28.8
ZCTA5 01879,57.5,7.8,30.5
ZCTA5 01880,55,9.3,29.1
ZCTA5 01886,66.6,6.5,22.4
ZCTA5 01887,57.9,8,27.9
ZCTA5 01890,67.2,6.2,20.1
ZCTA5 01901,29,13.9,42.9
ZCTA5 01902,34,10.6,45.1
ZCTA5 01904,50.4,10.5,30.9
ZCTA5 01905,41,10.2,40.6
ZCTA5 01906,52.8,8.8,30.3
ZCTA5 01907,59.9,7.8,25
ZCTA5 01908,48,12.6,29.3
ZCTA5 01913,50.5,11.6,30.2
ZCTA5 01915,45.2,10,37.2
ZCTA5 01921,69.6,5.1,21.3
ZCTA5 01922,55.1,11.8,26.7
ZCTA5 01923,50.7,11.7,28.1
ZCTA5 01929,59.7,10.6,23.6
ZCTA5 01930,52.6,11.1,28.1
ZCTA5 01937,0,15.4,84.6
ZCTA5 01938,56.8,10.5,25.1
ZCTA5 01940,62.3,5.3,24.6
ZCTA5 01944,64.4,8.6,21.2
ZCTA5 01945,62.6,10.2,21
ZCTA5 01949,48.2,7.9,35.3
ZCTA5 01950,49,15.3,27.1
ZCTA5 01951,61,9.5,25.6
ZCTA5 01952,46.8,14.9,31.6
ZCTA5 01960,48.6,9.5,31.2
ZCTA5 01966,58.2,10.3,20.5
ZCTA5 01969,62,9.6,24
ZCTA5 01970,38.3,9.8,43.8
ZCTA5 01982,63.9,6.2,24.2
ZCTA5 01983,66.8,7.8,19.4
ZCTA5 01984,42.4,5.2,47.7
ZCTA5 01985,70.3,2.8,22
ZCTA5 02019,56.2,9.4,28
ZCTA5 02021,56.8,9.1,25.6
ZCTA5 02025,68.2,4.8,20.4
