Zip Code,Mean income (dollars); Estimate; All households,Mean income (dollars); Margin of Error; All households,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Less than high school graduate,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - High school graduate (includes equivalency),MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Some college or associate's degree,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Bachelor's degree,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Graduate or professional degree,Percent; Estimate; Population 25 years and over - Less than 9th grade,"Percent; Estimate; Population 25 years and over - 9th to 12th grade, no diploma","Percent; Estimate; Population 25 years and over - Some college, no degree",Percent; Estimate; Population 25 years and over - Associate's degree,Percent; Estimate; Population 25 years and over - Bachelor's degree,Percent; Estimate; Population 25 years and over - Graduate or professional degree,Now married (except separated); Estimate; Population 15 years and over,Divorced; Estimate; Population 15 years and over,Never married; Estimate; Population 15 years and over
01255,93702,9358,-,40375,35083,46250,65417,2.1,6.5,17.8,6.1,16.0,21.3,50.7,13.8,25
01256,68216,8045,16071,35769,36500,58750,73125,3.8,12.2,19.8,6.5,11.2,7.2,48.3,11.3,33.6
01257,95290,18882,-,31000,31358,70726,27159,1.9,5.6,15.5,7.7,15.2,19.9,43.8,18.2,27.7
01258,85610,22170,-,18125,51250,21618,41875,4.0,0.0,11.1,6.8,39.4,15.7,48.3,18.5,22.8
01259,115657,26427,37250,34000,43333,-,44625,0.6,9.8,10.7,5.5,24.7,24.1,58.5,16.8,19.6
01260,97567,35138,-,-,-,93523,-,0.0,30.5,11.3,17.2,19.9,3.5,21.4,23.8,47.3
01262,72370,18051,"2,500-",-,30298,-,52583,8.6,0.5,19.5,4.1,15.0,22.5,38.2,10.5,40.5
01264,135397,49360,-,-,-,-,44583,0.0,0.0,12.0,12.0,13.7,38.3,49.7,9.1,35.3
01266,102325,14785,-,23929,31830,46295,56250,0.5,2.5,23.3,7.7,23.2,24.7,54.3,14.7,23.5
01267,101729,8453,-,32375,39327,44821,73429,1.2,6.3,10.9,5.2,24.2,37.3,36.5,7.7,48.5
01270,107515,18417,41250,41875,41146,54167,82500,0.0,1.6,18.2,13.3,25.3,15.7,62.3,10.1,22.5
01301,65614,5126,15933,27223,32786,42926,47708,1.7,5.7,18.7,13.2,17.4,14.4,43.4,12.9,35.3
01330,95297,12058,32083,35313,42500,44712,67989,0.0,1.7,17.1,9.4,24.6,23.8,52.9,12.4,27.4
01331,66161,3633,18913,38500,40561,55737,71711,3.1,9.3,20.1,12.0,12.5,5.9,45.7,12.8,34.5
01337,82371,7020,14659,32011,40313,46250,54375,0.6,4.0,17.9,11.4,15.0,13.9,57.8,14,19.8
01338,59179,15126,-,47679,18977,-,46042,0.0,7.5,11.6,32.2,8.2,16.4,57.1,18.2,20.8
01339,70366,7848,-,45000,33571,21923,46000,1.6,5.2,21.2,5.9,18.8,13.9,53.8,11.8,24.2
01340,66607,7914,19688,26310,36250,26635,41786,2.5,6.5,20.3,10.7,13.6,13.7,52.7,15.9,25
01341,127548,20029,-,41080,36310,51382,53333,0.0,0.9,14.7,8.6,25.5,36.2,59,11.1,25.5
01342,112502,24807,-,-,83047,56938,73299,2.6,1.9,9.3,4.0,29.2,38.7,57.3,13.6,21.9
01343,71740,16977,-,"2,500-",46250,-,-,6.5,6.5,15.2,8.7,4.3,8.7,93.5,0,0
01344,71697,5409,33750,43281,38542,29688,68393,0.6,4.0,22.0,14.0,10.7,5.9,54.8,12.9,26.1
01346,82512,15438,56250,35833,32500,53750,85625,1.8,2.4,12.6,11.4,17.1,18.3,58.4,9.6,25.4
01347,44103,7701,-,40694,-,-,-,0.0,8.3,16.7,0.0,0.0,16.7,10.1,5,63.9
01349,70211,11888,19688,24318,39145,50909,59861,6.9,5.0,16.8,7.4,15.0,7.7,32.4,7.6,40.9
01350,49977,11524,-,-,-,73125,-,0.0,1.4,17.4,10.1,14.5,1.4,42.1,18.4,21.1
01351,89834,15575,-,32351,51806,50679,52188,2.8,0.3,15.7,14.6,18.7,17.6,49.9,10.8,30.4
01354,79976,6299,36563,36250,37375,35417,43150,0.3,2.0,14.5,8.9,28.2,20.2,63.2,8.2,23.2
01355,86263,11760,-,42386,37500,51250,57143,0.0,3.1,18.3,6.6,20.3,23.7,55.7,13.3,23.3
01360,82550,9514,-,30060,33804,39886,57407,0.5,4.5,9.9,18.3,17.8,20.4,47,15.3,29.6
01364,56094,4467,17813,30457,35962,39063,58219,2.9,9.7,21.2,8.8,10.5,6.3,52.7,12.2,27
01366,84122,8977,10500,37375,36250,-,73214,0.3,2.2,21.2,9.5,18.7,19.3,50,10.5,32.5
01367,74521,18556,-,36875,20417,36875,38214,1.5,12.2,19.1,5.7,17.6,15.4,46.1,16.7,33.7
01368,81850,10654,-,34063,41538,51250,65625,3.5,5.7,23.9,10.9,7.8,9.4,60.1,8.1,21.8
01370,80757,17265,18333,31831,34219,41027,60714,3.7,6.0,15.7,9.9,27.4,16.4,48.8,13.1,30.1
01373,86616,10052,83906,-,41118,50417,64406,0.1,3.6,20.7,11.9,22.7,23.5,52.4,12.4,27
01375,83756,22678,30040,32283,51389,39677,40250,1.3,5.5,10.9,6.3,18.1,38.0,39.8,12.1,42.9
01376,54658,7541,-,28295,32743,37326,48021,4.0,9.4,21.4,11.6,14.6,9.8,37.8,15.8,37.5
01378,67308,6436,28333,36125,31750,31563,50179,4.2,6.3,19.8,9.8,22.0,11.0,58.8,13.6,22.6
01379,66682,19099,16146,19688,23750,29750,28750,1.9,4.9,14.4,7.1,27.2,19.1,49.9,22.1,24.5
01420,65885,3156,30142,31969,36803,50801,68373,6.7,10.9,17.7,8.5,13.5,7.3,39.6,10.8,41.5
01430,100483,13139,30769,46709,42367,54658,67391,1.4,1.5,21.6,13.0,26.1,10.9,60.2,10.1,26.7
01431,104293,9073,-,42083,44688,72723,93750,3.4,5.0,14.9,10.9,19.1,9.5,56.3,8.9,28.1
01432,95825,6661,49792,41237,51587,72667,84646,1.9,2.7,18.1,7.3,20.5,19.9,42.8,18.1,33.5
01434,87246,31601,-,10375,18739,41625,44000,2.1,3.1,28.5,8.0,16.5,9.3,19.5,23.8,51.4
01436,84568,17586,36855,38150,42957,66335,-,3.1,8.0,18.5,15.4,13.9,9.1,50.5,11.9,26.3
01438,85295,24080,-,31270,-,-,58732,2.2,12.8,16.2,19.6,0.2,13.2,61.3,10.7,28
01440,62384,4016,30347,32385,32232,47796,53788,3.5,8.8,20.4,11.3,11.9,6.7,40.8,13.5,36.3
01450,145285,11588,-,42083,53523,72965,109205,0.5,1.2,14.2,4.7,39.8,26.5,63.4,7,24.9
01451,170165,18248,-,36250,45000,73807,106500,0.3,0.9,8.7,3.4,37.7,40.6,64.9,6.6,23
01452,102947,8458,-,50000,52091,56287,76484,0.9,3.1,24.4,11.9,18.4,12.2,59.6,8.4,26.4
01453,75305,4154,26325,33265,40205,47958,70351,5.2,8.4,18.3,9.3,18.8,9.4,46.5,12.5,31.3
01460,138558,10687,30750,42045,36603,83438,85962,1.2,1.3,15.3,7.8,30.6,25.3,56.9,8,27.1
01462,109817,8709,31184,40602,46293,66316,81644,2.0,4.4,20.5,9.9,21.6,13.9,55.1,13.2,24.3
01463,111082,8853,23036,43867,42087,65455,94181,1.1,4.6,19.3,11.4,23.2,14.5,54.7,11.7,26.4
01464,97408,14667,11534,35804,45588,54076,83971,3.7,8.9,16.7,5.2,20.0,7.8,42.2,12.7,39.3
01467,131737,84006,-,-,-,28015,103000,0.0,0.0,33.1,0.0,24.1,32.8,50.5,13.9,35.5
01468,82209,13313,21639,43120,37095,59107,-,0.5,7.7,27.4,13.1,20.4,3.1,57.1,6.8,27.5
01469,107538,13241,41050,41488,46783,64511,78583,0.8,3.4,18.7,12.6,22.7,12.2,62.2,9.4,23.8
01473,113838,9554,-,41382,44338,71114,74500,1.8,4.5,17.2,13.0,27.0,16.0,58.6,10.6,24
01474,129214,30213,-,52763,50000,32181,66106,1.7,6.7,14.2,7.6,25.5,15.0,52,12.7,27.8
01475,78168,9528,35467,36034,36224,52667,58618,4.5,7.0,21.9,11.8,12.1,7.2,54.1,11.4,28.5
01501,93144,3565,-,36000,45208,61250,73377,1.7,5.0,16.2,9.2,24.5,13.9,53,11.2,26.7
01503,127925,13275,33500,34896,46071,66823,78958,2.3,4.0,14.3,8.4,28.4,17.3,58.3,11.5,23.8
01504,92786,6539,37125,39421,50285,61067,78158,1.4,4.4,18.8,10.0,21.7,9.5,56.6,10,26.7
01505,119858,11598,40625,33053,50000,70813,82813,1.7,1.8,14.4,10.3,37.1,19.1,60.6,7.1,26.3
01506,89462,9838,26856,29698,42222,70556,84167,5.2,7.4,18.9,6.0,22.9,8.0,55.1,10.8,27.8
01507,104931,8509,-,45377,53542,72201,70667,1.7,2.6,17.5,10.6,22.1,12.8,56.2,8.1,27.7
01510,80971,5428,27150,35097,36419,57885,64758,2.3,5.3,17.1,9.4,25.5,10.7,47.6,9.9,34.7
01515,93723,11470,39688,35139,39408,63056,56250,2.3,7.3,17.2,10.0,20.3,12.2,55.3,7.8,30.5
01516,103380,6359,45427,50017,45136,56076,84727,2.0,1.5,19.1,10.7,25.3,9.3,56.9,9,29.2
01518,98744,18015,-,30688,37353,49818,65368,0.3,3.0,14.1,8.9,26.2,19.5,58,13.2,21.2
01519,132062,10309,34808,33971,42317,80781,84414,1.7,2.5,15.6,8.2,32.5,20.0,61,7.4,25.3
01520,118463,5482,23155,35218,47449,62907,79562,0.7,2.2,14.5,8.9,29.5,24.8,59.1,8.1,26.9
01521,89316,8214,17321,33542,38242,61250,67206,1.4,4.3,23.7,11.2,17.4,14.5,59.5,7.8,26.3
01522,124782,21399,-,43864,53810,72000,70438,2.3,1.6,17.4,9.0,28.0,23.1,61.1,11.3,23.6
01523,119085,18880,-,31833,51063,60313,72813,4.5,8.7,16.8,9.7,24.1,12.3,45.4,7.7,42
01524,86771,17510,19659,34869,41096,49375,56574,2.0,7.9,22.2,10.6,17.7,10.2,49.3,9.5,37.1
01525,61632,34801,-,-,-,-,-,13.3,11.9,11.9,0.0,32.2,16.8,21,59.9,11.7
01527,94552,9858,20964,33023,46670,70000,65786,1.9,6.4,16.8,8.6,18.5,12.8,51.7,12.3,28.2
01529,104300,9373,-,43953,50612,69063,101875,4.1,6.0,19.4,10.6,19.3,9.0,54.9,11.5,26.2
01531,104877,16641,26429,55125,43125,57188,81250,0.8,7.5,18.5,10.6,20.4,13.2,54.7,12.4,27
01532,146346,12038,28424,31930,43148,72750,102121,1.8,2.4,15.1,6.8,31.8,23.4,61.4,7.6,24.3
01534,110860,9739,21992,45670,44256,70530,82375,2.2,3.7,17.0,8.2,19.1,19.8,59.9,6.5,27
01535,82223,6556,-,40369,45708,54306,72500,2.0,5.6,19.3,7.5,13.8,10.9,56.9,11.2,25.3
01536,120602,9246,17417,32474,55759,73818,92308,1.6,2.1,17.8,7.8,26.7,22.5,52.3,10.2,30.3
01537,74711,11195,-,48112,35852,75667,70590,1.0,11.6,15.5,7.8,26.9,9.2,37.8,18.1,36
01540,79867,6986,30727,45845,41381,62411,65253,1.4,4.8,21.1,9.3,19.7,8.4,47.4,14.7,30.5
01541,159929,19513,-,40268,36528,73438,95167,0.2,0.9,12.6,12.0,27.7,33.6,60.2,9.4,26
01542,105234,14549,43125,37857,42441,58167,62875,6.9,5.0,19.2,8.8,18.0,11.1,54.3,12.4,25.7
01543,108807,8015,-,35046,59663,64926,78678,0.4,1.6,14.5,9.7,28.1,17.0,59.6,8.9,27.3
01545,126754,5168,26813,40750,46862,72257,93071,3.1,2.8,11.9,8.2,29.8,26.9,59.4,7.4,27
01550,61485,2940,24557,32193,36395,51372,54375,6.8,11.1,22.0,8.4,10.4,5.5,42.6,12.6,35
01560,116603,14476,-,32667,44417,69464,113059,0.6,4.1,13.3,8.5,28.8,21.8,55.5,11.6,27.5
01561,83168,35347,-,-,-,51385,-,0.0,0.0,15.9,21.8,54.1,0.0,65.9,0,27.7
01562,72811,5465,24865,32921,46627,51146,75673,4.4,7.0,21.4,7.7,13.7,8.9,51.5,10.3,30.2
01564,127069,13687,37250,50833,50444,71636,84434,1.1,3.5,18.7,6.7,28.8,20.3,59.2,9,24.7
01566,120764,15009,63750,42341,50504,62422,80994,3.0,2.9,18.8,10.0,28.1,18.7,61,10.3,23.8
01568,135196,10438,-,34423,44375,93636,100153,0.8,2.3,13.7,10.6,31.9,20.2,60.7,8.4,23.8
01569,100880,4447,25641,43234,43377,61568,85538,2.5,2.4,16.3,10.3,23.7,12.2,52.8,8.1,32.8
01570,70708,4445,21622,36761,36809,54375,61782,4.7,10.3,16.1,10.2,16.4,7.3,43.9,12.9,33.1
01571,87099,7802,71250,40714,37957,51917,69500,2.1,6.2,20.9,9.3,17.8,10.9,45.7,10.3,39.2
01581,132231,7719,19559,37451,40915,71825,95804,1.6,1.9,8.7,5.8,35.3,30.5,61.2,6.1,25.2
01583,100363,8587,-,25750,40020,48646,95057,3.2,9.4,17.4,8.6,18.9,11.6,40.8,11.8,41
01585,84849,11371,32500,40690,31316,52096,66667,1.8,4.6,15.4,6.6,21.4,10.7,59.2,9.3,24.5
01588,84802,8845,-,32541,37850,59079,83056,1.8,6.1,21.9,9.5,22.4,8.5,46.8,16.4,30
01590,118941,8139,-,43008,51129,74861,78839,1.8,1.6,15.8,7.3,24.6,19.2,58.1,8.8,27.5
01602,84312,4806,28000,36395,40647,56314,74806,2.4,5.8,14.9,8.7,26.7,20.0,41.9,9.7,40.8
01603,63797,4965,20988,30060,33347,42155,58616,7.9,10.7,17.7,8.2,12.2,7.8,38.1,13.1,41.6
01604,66151,3790,25133,28732,35863,50820,65346,5.1,7.6,16.7,9.9,19.0,8.8,37.6,12.6,41.6
01605,54949,3848,24991,31270,33428,42886,55702,7.4,10.7,17.9,7.6,14.7,9.9,31.1,11.3,47.4
01606,80802,5379,28636,32441,44709,52022,70199,2.7,4.5,18.3,9.1,23.0,14.5,42.1,12.2,36.7
01607,56251,5437,27692,33475,36399,41606,58188,4.4,12.0,20.9,8.2,16.7,6.3,41.5,13.6,40.8
01608,27784,4626,-,26824,24497,30795,41161,15.6,13.5,15.9,3.3,14.2,10.2,15,10.2,57.9
01609,77570,7480,21230,24893,31897,44769,71680,7.2,9.4,14.4,5.6,23.1,20.3,30.9,5.8,55.1
01610,42259,3425,21315,27242,35688,31582,40417,10.6,16.1,15.9,5.9,9.9,4.2,20.7,11.6,59.4
01611,96541,14922,19231,44231,31797,53250,71184,3.4,4.7,22.7,6.3,20.1,7.6,40.2,17.2,35.3
01612,121484,9824,32292,14444,41900,65536,75430,0.8,2.3,22.0,7.2,29.0,25.5,50.3,10,33.5
01701,124057,6151,24773,31818,47531,66825,80559,2.6,1.8,13.2,5.4,33.5,25.1,59.5,8,25.7
01702,72228,3608,21236,30653,35309,44651,73019,8.3,7.6,14.8,4.7,21.7,14.6,41,10.8,40.5
01718,163461,30867,-,-,-,-,96587,0.0,0.0,9.6,0.0,43.2,43.6,64.8,10.6,24.7
01719,134731,10076,-,34271,41094,66176,97697,1.6,1.4,10.0,6.9,29.6,42.2,57.5,7.4,31
01720,156257,6074,-,41429,38003,81271,107540,1.6,0.9,9.3,5.2,32.2,43.9,65.1,6.8,24.1
01721,136132,8381,40482,35863,41875,75245,96353,1.9,1.9,10.9,5.8,31.7,30.0,59.3,8.9,26.2
01730,153074,10359,-,32384,45061,83960,100096,0.6,1.8,11.9,6.6,29.5,40.7,62,8.9,22.6
01731,98165,13704,-,50192,43125,73162,94236,0.0,0.2,23.8,13.1,25.9,28.9,74.8,5.1,19
01740,164477,15042,-,40426,51316,84583,103697,0.7,0.6,12.0,6.1,36.2,31.2,68.7,6.3,21.6
01741,252373,35236,-,49556,36691,95000,132625,1.1,1.3,5.0,2.7,35.4,49.3,68.1,7.4,21
01742,193610,11919,20714,35600,46452,78446,103530,2.2,3.2,7.0,3.7,29.5,41.9,59.5,8.3,24.2
01745,134930,27543,-,-,41250,-,85000,0.0,0.0,21.8,5.2,17.0,26.3,79.5,0,14
01746,148072,9917,29732,41786,57607,72514,93714,1.8,1.6,13.6,8.4,35.7,26.5,65.2,6.2,22.5
01747,104914,9201,-,41411,47090,72500,74479,3.3,3.2,20.7,8.4,30.9,9.3,55.9,11.3,25.8
01748,177518,8758,31345,50308,52208,82185,107526,1.6,1.5,11.7,6.2,39.1,29.1,68.4,5.1,22.4
01749,100058,4336,24524,40542,43068,66491,79620,6.4,3.3,14.6,9.9,24.7,15.1,53.9,8.8,28.8
01752,97292,4837,23421,27324,41395,67466,78398,4.6,3.8,15.4,8.3,22.9,16.4,51.9,9.6,32.5
01754,114034,9881,13625,36336,46706,63667,89375,1.4,2.4,16.4,7.2,24.8,24.9,57,9.9,25.6
01756,145210,13172,-,43529,60818,82409,82591,1.2,1.6,17.5,8.9,31.2,15.8,64.8,5.4,25.2
01757,90904,4234,22981,35260,46319,61890,70724,4.1,4.0,19.6,9.3,24.1,12.6,50.9,11.7,30.7
01760,136355,7423,19487,40858,43571,63701,84263,1.0,2.1,11.0,4.9,32.4,35.2,58.3,9.8,25.9
01770,221325,28756,-,31071,21333,86146,128056,0.8,0.4,6.1,2.2,39.4,43.5,68,5,22.6
01772,188420,13297,-,31116,48688,80382,122014,1.8,1.5,10.8,4.8,37.7,30.8,60.4,7.8,26.8
01773,245881,40184,-,35114,80583,92273,129904,1.4,0.3,8.8,4.1,29.6,52.2,68.3,10.2,16.6
01775,157304,14161,-,36172,46016,96406,98000,0.3,0.0,10.0,8.0,34.9,33.8,66.7,8.2,20.6
01776,225197,15840,-,40404,46667,97688,122589,0.5,0.4,8.2,3.4,36.2,42.3,70.9,4.9,20.9
01778,213442,14396,39625,30972,45455,81507,107238,0.5,0.8,7.3,3.0,35.8,46.7,69.1,5.4,19.5
01801,98876,3278,24982,37995,41639,60890,77737,2.3,3.2,16.2,8.0,25.0,17.3,48.4,8.6,35.3
01803,123122,6636,30000,37901,42002,74256,89527,2.8,2.0,12.9,8.4,29.5,24.1,59.9,6.8,25.4
01810,179237,9031,-,51280,40591,85426,103341,1.3,1.3,9.2,6.0,34.5,39.2,59.1,8.7,27.6
01821,110998,5280,26837,43324,50555,62083,86503,1.4,5.4,17.5,9.0,23.5,10.6,54.5,9.4,29.6
01824,133704,6824,28984,48984,56250,72221,91101,1.3,2.0,14.8,8.1,30.2,23.9,61,7.6,24.2
01826,98233,4337,19083,39529,52418,65887,75654,3.4,5.3,18.8,10.2,17.5,9.7,51.8,9.4,31.7
01827,164085,12052,-,48611,54352,88523,90000,1.2,2.5,12.3,10.8,31.0,26.3,62,7.9,24.7
01830,81333,4422,22055,35612,41720,58808,62147,6.8,6.1,20.4,10.5,17.3,8.7,43,12.5,35.7
01832,83263,4665,31786,30326,40838,54792,71670,3.8,7.7,19.8,8.2,21.3,9.7,41.2,13.3,39.2
01833,124065,7950,-,39338,47152,82210,90750,0.6,1.8,19.2,9.4,28.8,19.0,64,9.1,22.8
01834,108251,13324,-,27165,45673,71114,76319,0.9,2.4,20.3,12.5,24.8,15.2,57.1,6.4,30.7
01835,87886,5408,33958,39568,36272,62596,78235,1.3,3.6,20.4,12.7,23.5,12.3,48.8,10.4,35.5
01840,43260,7969,22014,25814,32656,46214,31711,23.5,15.3,13.4,5.9,10.7,2.3,34.2,12.4,47.2
01841,48967,2610,22174,27346,26937,36042,52135,21.6,13.6,17.8,4.1,6.1,2.5,32.1,10.4,49.3
01843,59554,3254,22143,30495,31551,48558,66891,15.2,10.7,22.2,6.5,10.7,5.2,36.5,9.9,44.9
01844,88978,3030,30229,38127,41498,56821,60804,6.0,5.8,18.2,10.2,18.6,10.6,48.8,9.1,34.8
01845,136687,5925,-,42417,42948,75000,88784,1.0,1.9,12.6,7.8,35.0,26.9,56.3,8.3,28.4
01850,58083,5443,20653,30883,36987,44019,59638,8.0,8.4,17.3,5.0,8.5,6.4,37.1,9,47.5
01851,69216,3852,26952,32408,38802,51250,52962,13.3,8.7,14.9,7.5,14.0,10.2,38.3,11.6,42.7
01852,67861,3291,27211,32323,40204,51050,60847,11.2,8.6,16.1,6.3,15.9,10.9,38,12.2,41.5
01854,56810,3274,23168,28090,36149,42438,52381,9.3,11.4,17.2,8.3,10.6,8.8,28.9,9,53.8
01860,104691,8248,-,25918,44565,72083,79864,2.0,2.8,18.7,6.7,29.9,18.1,61.5,7.1,27
01862,103848,7668,22105,34531,41791,61573,82404,2.1,7.9,18.6,8.5,19.9,11.9,49.3,6.3,38.8
01863,102208,8398,26250,45644,65490,68059,76293,2.6,4.0,14.9,7.6,25.3,21.0,52.9,12.4,26.2
01864,147682,7589,13214,50184,43799,75204,98879,0.3,2.2,13.1,9.0,32.6,19.7,58.8,8.1,28.3
01867,138406,8182,-,40714,44401,83219,81165,1.1,2.0,12.1,7.2,34.3,26.9,60.3,7.3,26.1
01876,107527,5795,30833,43446,45221,70657,83859,2.1,3.8,19.3,9.0,23.3,10.6,53.1,9.3,28.8
01879,120510,11075,-,38410,49167,64182,83396,2.0,2.5,15.5,9.0,30.5,15.0,57.5,7.8,30.5
01880,112430,5251,28750,36085,46231,66680,85841,3.1,3.5,12.6,8.0,31.2,19.7,55,9.3,29.1
01886,149160,7084,25000,36523,51270,74555,105115,1.5,1.0,11.4,6.3,33.3,35.8,66.6,6.5,22.4
01887,133893,9160,-,42162,56163,67917,85449,2.3,2.4,16.8,8.7,23.3,17.5,57.9,8,27.9
01890,210543,11778,-,38672,47917,87273,103732,1.3,0.9,6.8,4.5,30.9,44.6,67.2,6.2,20.1
01901,34504,7181,21719,17083,27784,56447,-,22.5,5.0,21.3,5.5,10.6,7.1,29,13.9,42.9
01902,59903,2955,25067,30824,33444,42468,55635,15.7,8.6,20.2,7.7,12.6,4.7,34,10.6,45.1
01904,96196,4811,28638,38898,52114,55821,70833,4.2,4.5,19.1,9.0,18.6,10.2,50.4,10.5,30.9
01905,71858,4512,27895,36212,37438,42270,58636,15.9,7.0,17.3,8.1,12.4,4.6,41,10.2,40.6
01906,96266,4981,36214,41220,43120,56690,72596,4.9,4.5,19.1,8.8,17.3,9.2,52.8,8.8,30.3
01907,136524,13321,41411,50625,42029,68571,81548,1.8,2.8,15.9,7.4,29.6,24.7,59.9,7.8,25
01908,124754,19166,-,47361,58313,66012,83144,1.3,1.2,16.7,5.5,27.7,25.3,48,12.6,29.3
01913,92614,3931,-,35043,45417,65437,63020,1.1,4.7,16.9,9.0,24.8,17.0,50.5,11.6,30.2
01915,107530,7290,-,37181,36695,56554,81127,2.2,3.5,14.8,8.6,29.9,18.2,45.2,10,37.2
01921,192799,20832,-,36488,68125,91381,103750,0.5,1.9,14.7,9.6,33.4,27.1,69.6,5.1,21.3
01922,113428,17215,-,56386,50055,62089,56731,1.4,0.8,15.1,11.2,42.0,19.4,55.1,11.8,26.7
01923,99109,4795,34653,36451,42062,61648,69264,2.0,3.7,16.9,11.8,25.1,16.3,50.7,11.7,28.1
01929,131697,19595,-,54073,36319,61644,71688,0.8,1.0,17.1,6.5,31.3,27.0,59.7,10.6,23.6
01930,90086,5477,26607,35594,39223,50885,73148,3.6,5.5,16.2,8.9,23.6,15.0,52.6,11.1,28.1
01937,-,**,-,-,-,-,-,16.9,8.8,15.4,0.0,10.3,0.0,0,15.4,84.6
01938,108783,7672,27656,40437,44250,59869,73958,0.8,2.3,14.9,9.8,28.0,23.2,56.8,10.5,25.1
01940,143982,11176,-,40911,53071,79000,103393,2.0,2.0,13.7,9.1,29.6,23.2,62.3,5.3,24.6
01944,162354,20763,-,51119,44417,53043,94231,0.4,2.2,14.9,4.4,32.7,28.6,64.4,8.6,21.2
01945,158804,9938,-,36790,47872,72355,84097,0.8,1.6,13.0,5.4,38.6,31.7,62.6,10.2,21
01949,143564,22694,11335,30603,51542,78833,114276,2.1,5.5,15.5,9.3,23.9,16.2,48.2,7.9,35.3
01950,122919,7499,32396,32813,52254,64412,73825,0.8,2.4,12.4,8.7,35.4,25.6,49,15.3,27.1
01951,116206,20397,38561,40417,46639,64914,65917,0.8,3.6,14.4,11.3,36.3,17.6,61,9.5,25.6
01952,80588,6062,26397,33711,36638,62458,48750,3.0,4.0,21.5,9.5,19.3,10.5,46.8,14.9,31.6
01960,84219,3190,25806,33997,43178,54118,78197,4.9,5.3,17.1,9.2,20.1,10.6,48.6,9.5,31.2
01966,97179,9546,-,40216,29891,44079,58317,1.1,1.3,15.6,9.4,29.9,21.7,58.2,10.3,20.5
01969,126480,22015,-,39623,59071,80263,62083,0.0,2.3,19.2,11.0,26.2,17.4,62,9.6,24
01970,80980,4699,21657,33380,37153,55507,65874,4.9,4.1,18.8,6.4,25.3,15.9,38.3,9.8,43.8
01982,136234,11325,-,60098,42966,55592,88594,0.9,0.7,10.5,8.2,37.9,31.0,63.9,6.2,24.2
01983,153381,17866,-,22279,41932,82635,68818,0.8,1.9,17.6,5.7,30.2,28.4,66.8,7.8,19.4
01984,161613,25558,-,50208,40833,93095,74798,0.7,0.2,10.3,7.7,39.1,25.1,42.4,5.2,47.7
01985,164693,24005,-,51654,54792,85278,74500,0.6,1.8,14.1,11.6,34.0,19.4,70.3,2.8,22
02019,118476,10570,21563,40877,57509,71237,97015,2.3,3.7,20.5,11.7,19.1,11.5,56.2,9.4,28
02021,126808,7615,-,37038,44968,67460,89837,1.2,1.8,14.9,8.0,31.7,24.7,56.8,9.1,25.6
02025,208201,28287,-,47847,26613,93162,107444,1.0,0.7,9.6,3.6,39.2,34.1,68.2,4.8,20.4
02026,121090,7951,33068,36115,43825,70455,78125,2.7,3.8,14.7,6.8,26.8,22.0,50.1,9.1,31.1
02030,310570,29740,-,-,41786,96780,127639,0.4,1.3,6.0,3.9,37.9,44.8,71,4.7,20.5
02032,151170,23854,-,48846,44000,84473,82455,2.0,2.2,13.6,6.5,29.5,27.8,64.9,5.2,23.7
02035,119762,7982,29663,42794,47861,67859,77059,1.6,3.8,17.6,8.2,30.6,18.2,55.8,8.7,28.4
02038,139886,6665,22208,50578,51370,73604,83911,1.1,2.8,14.5,8.0,33.5,22.5,58.2,8.1,28.2
02043,181308,12294,38224,36048,39650,79896,115500,0.3,1.1,11.3,5.4,36.7,33.0,62.8,6.5,21.8
02045,101606,8266,-,35766,48176,57083,76765,1.2,3.0,17.4,9.1,27.3,16.8,46,16.3,29.3
02047,32424,10053,-,-,-,-,-,0.0,0.0,64.0,36.0,0.0,0.0,27.7,49.2,23.1
02048,132297,7145,-,32380,46947,68469,88904,0.8,1.8,14.3,9.0,31.0,24.5,58.5,8,29
02050,111913,6831,-,37729,44424,71037,83811,0.7,3.7,20.2,10.4,28.4,15.6,56.9,8.5,27.9
02052,207293,16853,"2,500-",60424,62800,83831,109375,0.1,1.0,11.4,5.6,35.5,37.0,68.7,4.6,22.2
02053,142572,8552,51607,45912,59000,70739,80400,1.3,3.3,14.2,6.6,35.6,23.4,58.9,7.2,26.4
02054,118942,12382,35156,50750,43264,63625,89495,0.3,2.2,15.6,9.3,36.0,17.3,60,7.7,27.3
02056,159798,11249,10156,-,41144,75662,93906,2.8,5.2,12.9,7.5,31.9,20.2,53.6,8,33.4
02061,170302,12416,-,42039,42813,78214,90091,1.3,1.6,11.7,6.4,37.7,25.4,64.3,6.8,22.6
02062,105000,6079,23556,42013,43931,66509,80316,2.2,3.1,16.0,7.3,29.8,17.0,49.7,9.9,31.9
