Zip Code,Lat,Lng
03244,43.1,-71.9
03245,43.74,-71.6
03246,43.56,-71.48
03249,43.6,-71.4
03251,44.0,-71.6
03253,43.6,-71.5
03254,43.7,-71.4
03255,43.32,-72.02
03256,43.6,-71.6
03257,43.42,-71.99
03258,43.26,-71.4
03259,43.88,-71.43
03260,43.37,-71.94
03261,43.22,-71.2
03262,44.0,-71.7
03263,43.31,-71.31
03264,43.7,-71.7
03266,43.8,-71.9
03268,43.39,-71.75
03269,43.54,-71.61
03273,43.29,-71.88
03275,43.2,-71.4
03276,43.43,-71.57
03278,43.3,-71.8
03279,43.94,-71.88
03280,43.19,-72.09
03281,43.08,-71.72
03282,43.9,-71.9
03284,43.49,-72.03
03285,43.93,-71.65
03287,43.4,-71.9
03290,43.13,-71.12
03291,43.18,-71.14
03293,44.0,-71.6
03301,43.2,-71.5
03303,43.3,-71.7
03304,43.13,-71.55
03307,43.3,-71.4
03431,43.0,-72.3
03440,43.06,-71.98
03441,42.8,-72.43
03442,43.02,-71.91
03443,42.89,-72.44
03444,42.89,-72.07
03445,43.01,-72.22
03446,42.86,-72.31
03447,42.76,-72.15
03448,43.03,-72.25
03449,42.98,-72.0
03450,42.94,-72.08
03451,42.79,-72.5
03452,42.83,-72.06
03455,42.9,-72.19
03456,43.13,-72.21
03457,43.01,-72.12
03458,42.9,-71.9
03461,42.75,-72.01
03462,42.89,-72.41
03464,43.07,-72.12
03465,42.83,-72.19
03466,42.89,-72.5
03467,42.97,-72.45
03470,42.8,-72.3
03561,44.3,-71.8
03570,44.5,-71.2
03574,44.2,-71.6
03575,44.256,-71.447
03576,44.9,-71.3
03579,44.9,-71.1
03580,44.2,-71.8
03581,44.3,-71.1
03582,44.6,-71.4
03583,44.4,-71.46
03584,44.5,-71.5
03585,44.2,-71.9
03586,44.22,-71.8
03588,44.6,-71.2
03590,44.7,-71.5
03592,45.1,-71.3
03593,44.39,-71.32
03595,44.2,-71.4
03597,44.995,-71.531
03598,44.4,-71.6
03601,43.23,-72.3
03602,43.1,-72.3
03603,43.2,-72.4
03604,43.1,-72.3
03605,43.23,-72.18
03607,43.21,-72.28
03608,43.09,-72.41
03609,43.14,-72.44
03740,44.18,-71.99
03741,43.7,-72.0
03743,43.3,-72.3
03745,43.47,-72.31
03746,43.47,-72.33
03748,43.6,-72.1
03750,43.7,-72.18
03751,43.39,-72.09
03752,43.29,-72.11
03753,43.51,-72.14
03754,43.4,-72.2
03755,43.7,-72.2
03765,44.03,-72.05
03766,43.63,-72.24
03768,43.81,-72.12
03770,43.53,-72.28
03771,44.27,-72.0
03773,43.4,-72.2
03774,44.1,-71.99
03777,43.9,-72.1
03779,43.97,-72.04
03780,44.03,-71.96
03781,43.5,-72.3
03782,43.39,-72.09
03784,43.64,-72.3
03785,44.1,-71.9
03801,43.07,-70.8
03809,43.5,-71.2
03810,43.51,-71.28
03811,42.84,-71.16
03812,44.1,-71.3
03813,44.1,-71.0
03814,43.77,-71.18
03816,43.7,-71.3
03817,43.87,-71.23
03818,44.0,-71.2
03819,42.93,-71.12
03820,43.19,-70.89
03823,43.17,-70.93
03824,43.12,-70.92
03825,43.2,-71.0
03826,42.89,-71.13
03827,42.91,-70.97
03830,43.63,-71.0
03832,43.914,-71.08
03833,43.0,-71.0
03835,43.36,-71.08
03836,43.85,-71.09
03837,43.4,-71.3
03838,44.17,-71.23
03839,43.26,-70.98
03840,43.03,-70.85
03841,42.88,-71.18
03842,42.91,-70.81
03844,42.93,-70.87
03845,44.12,-71.14
03846,44.19,-71.18
03847,44.03,-71.09
03848,42.91,-71.06
03849,43.9,-71.11
03850,43.687,-71.299
03851,43.44,-71.02
03852,43.51,-70.98
03853,43.64,-71.3
03854,43.06,-70.72
03855,43.5,-71.1
03856,43.04,-70.96
03857,43.07,-70.95
03858,42.86,-71.04
03860,44.0,-71.2
03861,43.13,-71.02
03862,42.98,-70.83
03864,43.69,-71.11
03865,42.84,-71.1
03867,43.3,-70.99
03868,43.33,-70.94
03869,43.22,-70.85
03870,43.01,-70.76
03871,42.977,-70.765
03872,43.6,-71.0
03873,42.93,-71.18
03874,42.88,-70.86
03875,43.88,-71.2
03878,43.26,-70.88
03882,43.74,-71.06
03883,43.81,-71.29
03884,43.3,-71.2
03885,43.01,-70.9
03886,43.87,-71.28
03887,43.48,-71.06
03890,43.81,-71.23
03894,43.6,-71.2
03901,43.31,-70.84
03902,43.22,-70.64
03903,43.15,-70.78
03904,43.11,-70.73
03905,43.09,-70.69
03906,43.3,-70.8
03907,43.25,-70.62
03908,43.24,-70.74
03909,43.16,-70.67
03910,43.172,-70.608
03911,43.136,-70.645
04001,43.5,-70.9
04002,43.5,-70.7
04003,43.73,-70.0
04005,43.5,-70.5
04006,43.445,-70.344
04008,44.03,-69.87
04009,44.0,-70.8
04010,43.94,-70.91
04011,43.9,-70.0
04015,43.97,-70.51
04017,43.73,-70.13
04019,43.71,-70.09
04020,43.76,-70.81
04021,43.8,-70.27
04022,43.98,-70.81
04024,43.83,-70.67
04027,43.4,-70.9
04029,43.9,-70.68
04030,43.59,-70.7
04032,43.86,-70.1
04037,44.1,-70.9
04038,43.7,-70.5
04039,43.89,-70.33
04040,44.1,-70.7
04041,43.87,-70.82
04042,43.63,-70.62
04043,43.4,-70.6
04046,43.4,-70.5
04047,43.74,-70.91
04048,43.69,-70.78
04049,43.7,-70.7
04050,43.69,-70.15
04051,44.2,-70.9
04055,43.97,-70.62
04056,43.63,-70.9
04057,44.0,-70.8
04061,43.64,-70.74
04062,43.8,-70.4
04063,43.5,-70.387
04064,43.53,-70.39
04066,43.77,-69.97
04068,43.84,-70.94
04069,43.89,-70.18
04071,43.9,-70.5
04072,43.5,-70.5
04073,43.4,-70.7
04074,43.6,-70.4
04076,43.5,-70.8
04079,43.8,-70.0
04083,43.47,-70.82
04084,43.8,-70.6
04085,43.78,-70.62
04086,43.96,-69.97
04087,43.57,-70.74
04088,44.2,-70.7
04090,43.32,-70.63
04091,43.84,-70.75
04092,43.7,-70.35
04093,43.6,-70.5
04095,43.64,-70.9
04096,43.79,-70.16
04097,43.85,-70.24
04101,43.66,-70.26
04102,43.66,-70.3
04103,43.69,-70.29
04105,43.75,-70.27
04106,43.63,-70.3
04107,43.59,-70.24
04108,43.66,-70.19
04109,43.66,-70.2
04110,43.76,-70.2
04210,44.1,-70.2
04216,44.9,-70.9
04217,44.4,-70.8
04219,44.4,-70.6
04220,44.3,-70.4
04221,44.5,-70.3
04222,43.96,-70.13
04224,44.6,-70.4
04226,44.63,-70.72
04227,44.6,-70.4
04228,44.413,-70.144
04231,44.26,-70.89
04234,44.63,-70.22
04236,44.19,-70.14
04237,44.5,-70.74
04238,44.2,-70.38
04239,44.52,-70.22
04240,44.1,-70.2
04250,44.03,-70.12
04252,44.03,-70.06
04253,44.41,-70.22
04254,44.43,-70.15
04255,44.34,-70.67
04256,44.11,-70.41
04257,44.57,-70.52
04258,44.15,-70.35
04259,44.22,-70.01
04260,44.0,-70.3
04261,44.6,-70.9
04263,44.3,-70.1
04265,44.28,-70.03
04267,44.2,-70.7
04268,44.2,-70.6
04270,44.1,-70.5
04271,44.24,-70.48
04274,44.05,-70.39
04275,44.7,-70.6
04276,44.5,-70.6
04280,44.1,-70.1
04281,44.24,-70.49
04282,44.3,-70.3
04284,44.34,-70.07
04285,44.7,-70.6
04286,44.4,-70.8
04287,44.06,-69.97
04289,44.33,-70.53
04290,44.5,-70.5
04292,44.4,-70.5
04294,44.657,-70.254
04330,44.4,-69.7
04342,44.08,-69.74
04343,44.3,-70.0
04344,44.26,-69.82
04345,44.2,-69.8
04346,44.24,-69.75
04347,44.29,-69.82
04348,44.2,-69.5
04349,44.44,-70.07
04350,44.17,-69.94
04351,44.3,-69.9
04352,44.47,-69.96
04353,44.2,-69.6
04354,44.4,-69.4
04355,44.38,-69.95
04357,44.1,-69.83
04358,44.4,-69.5
04359,44.2,-69.8
04360,44.55,-70.0
04363,44.31,-69.58
04364,44.31,-69.96
04401,44.9,-68.8
04406,45.2,-69.6
04408,45.0,-68.2
04410,45.09,-68.91
04411,44.88,-68.57
04412,44.78,-68.74
04413,45.6,-67.8
04414,45.4,-69.1
04415,45.9,-69.3
04416,44.6,-68.7
04417,45.3,-68.3
04418,45.1,-68.5
04419,44.8,-69.03
04421,44.42,-68.79
04422,45.07,-69.03
04424,45.6,-67.9
04426,45.2,-69.2
04427,44.98,-69.01
04428,44.8,-68.6
04429,44.7,-68.6
04430,45.64,-68.59
04431,44.6,-68.65
04434,44.78,-69.13
04435,44.96,-69.14
